SrvcDstrctNm,DsbltyGrpNm,AgeBnd,PrtcpntCnt,SuppCatg,RprtDt,Key
ALL,Intellectual Disability,15 to 18,970,Capacity Building,30SEP2022,81886
ALL,Intellectual Disability,15 to 18,183,Capital,30SEP2022,81887
ALL,Intellectual Disability,15 to 18,781,Core,30SEP2022,81888
ALL,Intellectual Disability,19 to 24,1392,ALL,30SEP2022,81889
ALL,Intellectual Disability,19 to 24,1351,Capacity Building,30SEP2022,81890
ALL,Intellectual Disability,19 to 24,232,Capital,30SEP2022,81891
ALL,Intellectual Disability,19 to 24,1289,Core,30SEP2022,81892
ALL,Intellectual Disability,25 to 34,1701,ALL,30SEP2022,81893
ALL,Intellectual Disability,25 to 34,1643,Capacity Building,30SEP2022,81894
ALL,Intellectual Disability,25 to 34,357,Capital,30SEP2022,81895
ALL,Intellectual Disability,25 to 34,1635,Core,30SEP2022,81896
ALL,Intellectual Disability,35 to 44,1071,ALL,30SEP2022,81897
ALL,Intellectual Disability,35 to 44,1033,Capacity Building,30SEP2022,81898
ALL,Intellectual Disability,35 to 44,311,Capital,30SEP2022,81899
ALL,Intellectual Disability,35 to 44,1054,Core,30SEP2022,81900
ALL,Intellectual Disability,45 to 54,896,ALL,30SEP2022,81901
ALL,Intellectual Disability,45 to 54,855,Capacity Building,30SEP2022,81902
ALL,Intellectual Disability,45 to 54,309,Capital,30SEP2022,81903
ALL,Intellectual Disability,45 to 54,881,Core,30SEP2022,81904
ALL,Intellectual Disability,55 to 64,792,ALL,30SEP2022,81905
ALL,Intellectual Disability,55 to 64,762,Capacity Building,30SEP2022,81906
ALL,Intellectual Disability,55 to 64,328,Capital,30SEP2022,81907
ALL,Intellectual Disability,55 to 64,783,Core,30SEP2022,81908
ALL,Intellectual Disability,65+,229,ALL,30SEP2022,81909
ALL,Intellectual Disability,65+,223,Capacity Building,30SEP2022,81910
ALL,Intellectual Disability,65+,116,Capital,30SEP2022,81911
ALL,Intellectual Disability,65+,228,Core,30SEP2022,81912
ALL,Intellectual Disability,7 to 14,1305,ALL,30SEP2022,81913
ALL,Intellectual Disability,7 to 14,1300,Capacity Building,30SEP2022,81914
ALL,Intellectual Disability,7 to 14,360,Capital,30SEP2022,81915
ALL,Intellectual Disability,7 to 14,1012,Core,30SEP2022,81916
ALL,Intellectual Disability,ALL,8719,ALL,30SEP2022,81917
ALL,Intellectual Disability,ALL,8496,Capacity Building,30SEP2022,81918
ALL,Intellectual Disability,ALL,2385,Capital,30SEP2022,81919
ALL,Intellectual Disability,ALL,7998,Core,30SEP2022,81920
ALL,Multiple Sclerosis,19 to 24,11,ALL,30SEP2022,81929
ALL,Multiple Sclerosis,19 to 24,11,Capacity Building,30SEP2022,81930
ALL,Multiple Sclerosis,19 to 24,11,Capital,30SEP2022,81931
ALL,Multiple Sclerosis,19 to 24,11,Core,30SEP2022,81932
ALL,Multiple Sclerosis,25 to 34,45,ALL,30SEP2022,81933
ALL,Multiple Sclerosis,25 to 34,45,Capacity Building,30SEP2022,81934
ALL,Multiple Sclerosis,25 to 34,28,Capital,30SEP2022,81935
ALL,Multiple Sclerosis,25 to 34,45,Core,30SEP2022,81936
ALL,Multiple Sclerosis,35 to 44,110,ALL,30SEP2022,81937
ALL,Multiple Sclerosis,35 to 44,110,Capacity Building,30SEP2022,81938
ALL,Multiple Sclerosis,35 to 44,55,Capital,30SEP2022,81939
ALL,Multiple Sclerosis,35 to 44,108,Core,30SEP2022,81940
ALL,Multiple Sclerosis,45 to 54,238,ALL,30SEP2022,81941
ALL,Multiple Sclerosis,45 to 54,237,Capacity Building,30SEP2022,81942
ALL,Multiple Sclerosis,45 to 54,143,Capital,30SEP2022,81943
ALL,Multiple Sclerosis,45 to 54,236,Core,30SEP2022,81944
ALL,Multiple Sclerosis,55 to 64,354,ALL,30SEP2022,81945
ALL,Multiple Sclerosis,55 to 64,354,Capacity Building,30SEP2022,81946
ALL,Multiple Sclerosis,55 to 64,279,Capital,30SEP2022,81947
ALL,Multiple Sclerosis,55 to 64,353,Core,30SEP2022,81948
ALL,Multiple Sclerosis,65+,144,ALL,30SEP2022,81949
ALL,Multiple Sclerosis,65+,144,Capacity Building,30SEP2022,81950
ALL,Multiple Sclerosis,65+,113,Capital,30SEP2022,81951
ALL,Multiple Sclerosis,65+,144,Core,30SEP2022,81952
ALL,Multiple Sclerosis,ALL,896,ALL,30SEP2022,81957
ALL,Multiple Sclerosis,ALL,895,Capacity Building,30SEP2022,81958
ALL,Multiple Sclerosis,ALL,619,Capital,30SEP2022,81959
ALL,Multiple Sclerosis,ALL,891,Core,30SEP2022,81960
ALL,Other,0 to 6,27,ALL,30SEP2022,81961
ALL,Other,0 to 6,27,Capacity Building,30SEP2022,81962
ALL,Other,0 to 6,11,Capital,30SEP2022,81963
ALL,Other,0 to 6,25,Core,30SEP2022,81964
ALL,Other,15 to 18,23,ALL,30SEP2022,81965
ALL,Other,15 to 18,23,Capacity Building,30SEP2022,81966
ALL,Other,15 to 18,11,Capital,30SEP2022,81967
ALL,Other,15 to 18,20,Core,30SEP2022,81968
ALL,Other,19 to 24,27,ALL,30SEP2022,81969
ALL,Other,19 to 24,27,Capacity Building,30SEP2022,81970
ALL,Other,19 to 24,15,Capital,30SEP2022,81971
ALL,Other,19 to 24,26,Core,30SEP2022,81972
ALL,Other,25 to 34,38,ALL,30SEP2022,81973
ALL,Other,25 to 34,36,Capacity Building,30SEP2022,81974
ALL,Other,25 to 34,25,Capital,30SEP2022,81975
ALL,Other,25 to 34,37,Core,30SEP2022,81976
ALL,Other,35 to 44,75,ALL,30SEP2022,81977
ALL,Other,35 to 44,75,Capacity Building,30SEP2022,81978
ALL,Other,35 to 44,59,Capital,30SEP2022,81979
ALL,Other,35 to 44,75,Core,30SEP2022,81980
ALL,Other,45 to 54,119,ALL,30SEP2022,81981
ALL,Other,45 to 54,119,Capacity Building,30SEP2022,81982
ALL,Other,45 to 54,95,Capital,30SEP2022,81983
ALL,Other,45 to 54,118,Core,30SEP2022,81984
ALL,Other,55 to 64,229,ALL,30SEP2022,81985
ALL,Other,55 to 64,229,Capacity Building,30SEP2022,81986
ALL,Other,55 to 64,160,Capital,30SEP2022,81987
ALL,Other,55 to 64,228,Core,30SEP2022,81988
ALL,Other,65+,63,ALL,30SEP2022,81989
ALL,Other,65+,63,Capacity Building,30SEP2022,81990
ALL,Other,65+,47,Capital,30SEP2022,81991
ALL,Other,65+,63,Core,30SEP2022,81992
ALL,Other,7 to 14,94,ALL,30SEP2022,81993
ALL,Other,7 to 14,94,Capacity Building,30SEP2022,81994
ALL,Other,7 to 14,24,Capital,30SEP2022,81995
ALL,Other,7 to 14,60,Core,30SEP2022,81996
ALL,Other,ALL,695,ALL,30SEP2022,81997
ALL,Other,ALL,693,Capacity Building,30SEP2022,81998
ALL,Other,ALL,444,Capital,30SEP2022,81999
ALL,Other,ALL,652,Core,30SEP2022,82000
ALL,Other Neurological,0 to 6,46,ALL,30SEP2022,82001
ALL,Other Neurological,0 to 6,46,Capacity Building,30SEP2022,82002
ALL,Other Neurological,0 to 6,34,Capital,30SEP2022,82003
ALL,Other Neurological,0 to 6,45,Core,30SEP2022,82004
ALL,Other Neurological,15 to 18,90,ALL,30SEP2022,82005
ALL,Other Neurological,15 to 18,90,Capacity Building,30SEP2022,82006
ALL,Other Neurological,15 to 18,52,Capital,30SEP2022,82007
ALL,Other Neurological,15 to 18,80,Core,30SEP2022,82008
ALL,Other Neurological,19 to 24,93,ALL,30SEP2022,82009
ALL,Other Neurological,19 to 24,92,Capacity Building,30SEP2022,82010
ALL,Other Neurological,19 to 24,52,Capital,30SEP2022,82011
ALL,Other Neurological,19 to 24,85,Core,30SEP2022,82012
ALL,Other Neurological,25 to 34,149,ALL,30SEP2022,82013
ALL,Other Neurological,25 to 34,144,Capacity Building,30SEP2022,82014
ALL,Other Neurological,25 to 34,88,Capital,30SEP2022,82015
ALL,Other Neurological,25 to 34,143,Core,30SEP2022,82016
ALL,Other Neurological,35 to 44,184,ALL,30SEP2022,82017
ALL,Other Neurological,35 to 44,181,Capacity Building,30SEP2022,82018
ALL,Other Neurological,35 to 44,124,Capital,30SEP2022,82019
ALL,Other Neurological,35 to 44,182,Core,30SEP2022,82020
ALL,Other Neurological,45 to 54,309,ALL,30SEP2022,82021
ALL,Other Neurological,45 to 54,305,Capacity Building,30SEP2022,82022
ALL,Other Neurological,45 to 54,229,Capital,30SEP2022,82023
ALL,Other Neurological,45 to 54,305,Core,30SEP2022,82024
ALL,Other Neurological,55 to 64,753,ALL,30SEP2022,82025
ALL,Other Neurological,55 to 64,751,Capacity Building,30SEP2022,82026
ALL,Other Neurological,55 to 64,472,Capital,30SEP2022,82027
ALL,Other Neurological,55 to 64,744,Core,30SEP2022,82028
ALL,Other Neurological,65+,321,ALL,30SEP2022,82029
ALL,Other Neurological,65+,317,Capacity Building,30SEP2022,82030
ALL,Other Neurological,65+,208,Capital,30SEP2022,82031
ALL,Other Neurological,65+,320,Core,30SEP2022,82032
ALL,Other Neurological,7 to 14,172,ALL,30SEP2022,82033
ALL,Other Neurological,7 to 14,172,Capacity Building,30SEP2022,82034
ALL,Other Neurological,7 to 14,96,Capital,30SEP2022,82035
ALL,Other Neurological,7 to 14,160,Core,30SEP2022,82036
ALL,Other Neurological,ALL,2117,ALL,30SEP2022,82037
ALL,Other Neurological,ALL,2098,Capacity Building,30SEP2022,82038
ALL,Other Neurological,ALL,1355,Capital,30SEP2022,82039
ALL,Other Neurological,ALL,2064,Core,30SEP2022,82040
ALL,Other Physical,0 to 6,40,ALL,30SEP2022,82041
ALL,Other Physical,0 to 6,40,Capacity Building,30SEP2022,82042
ALL,Other Physical,0 to 6,24,Capital,30SEP2022,82043
ALL,Other Physical,0 to 6,36,Core,30SEP2022,82044
ALL,Other Physical,15 to 18,64,ALL,30SEP2022,82045
ALL,Other Physical,15 to 18,63,Capacity Building,30SEP2022,82046
ALL,Other Physical,15 to 18,39,Capital,30SEP2022,82047
ALL,Other Physical,15 to 18,61,Core,30SEP2022,82048
ALL,Other Physical,19 to 24,68,ALL,30SEP2022,82049
ALL,Other Physical,19 to 24,68,Capacity Building,30SEP2022,82050
ALL,Other Physical,19 to 24,48,Capital,30SEP2022,82051
ALL,Other Physical,19 to 24,62,Core,30SEP2022,82052
ALL,Other Physical,25 to 34,118,ALL,30SEP2022,82053
ALL,Other Physical,25 to 34,117,Capacity Building,30SEP2022,82054
ALL,Other Physical,25 to 34,90,Capital,30SEP2022,82055
ALL,Other Physical,25 to 34,116,Core,30SEP2022,82056
ALL,Other Physical,35 to 44,182,ALL,30SEP2022,82057
ALL,Other Physical,35 to 44,181,Capacity Building,30SEP2022,82058
ALL,Other Physical,35 to 44,149,Capital,30SEP2022,82059
ALL,Other Physical,35 to 44,182,Core,30SEP2022,82060
ALL,Other Physical,45 to 54,337,ALL,30SEP2022,82061
ALL,Other Physical,45 to 54,335,Capacity Building,30SEP2022,82062
ALL,Other Physical,45 to 54,282,Capital,30SEP2022,82063
ALL,Other Physical,45 to 54,331,Core,30SEP2022,82064
ALL,Other Physical,55 to 64,585,ALL,30SEP2022,82065
ALL,Other Physical,55 to 64,583,Capacity Building,30SEP2022,82066
ALL,Other Physical,55 to 64,488,Capital,30SEP2022,82067
ALL,Other Physical,55 to 64,581,Core,30SEP2022,82068
ALL,Other Physical,65+,273,ALL,30SEP2022,82069
ALL,Other Physical,65+,269,Capacity Building,30SEP2022,82070
ALL,Other Physical,65+,223,Capital,30SEP2022,82071
ALL,Other Physical,65+,273,Core,30SEP2022,82072
ALL,Other Physical,7 to 14,126,ALL,30SEP2022,82073
ALL,Other Physical,7 to 14,125,Capacity Building,30SEP2022,82074
ALL,Other Physical,7 to 14,81,Capital,30SEP2022,82075
ALL,Other Physical,7 to 14,116,Core,30SEP2022,82076
ALL,Other Physical,ALL,1793,ALL,30SEP2022,82077
ALL,Other Physical,ALL,1781,Capacity Building,30SEP2022,82078
ALL,Other Physical,ALL,1424,Capital,30SEP2022,82079
ALL,Other Physical,ALL,1758,Core,30SEP2022,82080
ALL,Other Sensory/Speech,0 to 6,11,ALL,30SEP2022,82081
ALL,Other Sensory/Speech,0 to 6,11,Capacity Building,30SEP2022,82082
ALL,Other Sensory/Speech,0 to 6,11,Capital,30SEP2022,82083
ALL,Other Sensory/Speech,0 to 6,11,Core,30SEP2022,82084
ALL,Other Sensory/Speech,15 to 18,11,ALL,30SEP2022,82085
ALL,Other Sensory/Speech,15 to 18,11,Capacity Building,30SEP2022,82086
