Key,RprtDt,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppCatg,PrtcpntCnt
81641,30SEP2022,ALL,ALL,0 to 6,ALL,5444
81642,30SEP2022,ALL,ALL,0 to 6,Capacity Building,5439
81643,30SEP2022,ALL,ALL,0 to 6,Capital,1113
81644,30SEP2022,ALL,ALL,0 to 6,Core,4782
81645,30SEP2022,ALL,ALL,15 to 18,ALL,4459
81646,30SEP2022,ALL,ALL,15 to 18,Capacity Building,4383
81647,30SEP2022,ALL,ALL,15 to 18,Capital,656
81648,30SEP2022,ALL,ALL,15 to 18,Core,3370
81649,30SEP2022,ALL,ALL,19 to 24,ALL,4411
81650,30SEP2022,ALL,ALL,19 to 24,Capacity Building,4259
81651,30SEP2022,ALL,ALL,19 to 24,Capital,742
81652,30SEP2022,ALL,ALL,19 to 24,Core,3964
81653,30SEP2022,ALL,ALL,25 to 34,ALL,4849
81654,30SEP2022,ALL,ALL,25 to 34,Capacity Building,4708
81655,30SEP2022,ALL,ALL,25 to 34,Capital,1161
81656,30SEP2022,ALL,ALL,25 to 34,Core,4638
81657,30SEP2022,ALL,ALL,35 to 44,ALL,3973
81658,30SEP2022,ALL,ALL,35 to 44,Capacity Building,3892
81659,30SEP2022,ALL,ALL,35 to 44,Capital,1267
81660,30SEP2022,ALL,ALL,35 to 44,Core,3876
81661,30SEP2022,ALL,ALL,45 to 54,ALL,4559
81662,30SEP2022,ALL,ALL,45 to 54,Capacity Building,4465
81663,30SEP2022,ALL,ALL,45 to 54,Capital,1868
81664,30SEP2022,ALL,ALL,45 to 54,Core,4490
81665,30SEP2022,ALL,ALL,55 to 64,ALL,5491
81666,30SEP2022,ALL,ALL,55 to 64,Capacity Building,5411
81667,30SEP2022,ALL,ALL,55 to 64,Capital,2817
81668,30SEP2022,ALL,ALL,55 to 64,Core,5442
81669,30SEP2022,ALL,ALL,65+,ALL,1815
81670,30SEP2022,ALL,ALL,65+,Capacity Building,1782
81671,30SEP2022,ALL,ALL,65+,Capital,1076
81672,30SEP2022,ALL,ALL,65+,Core,1806
81673,30SEP2022,ALL,ALL,7 to 14,ALL,11474
81674,30SEP2022,ALL,ALL,7 to 14,Capacity Building,11384
81675,30SEP2022,ALL,ALL,7 to 14,Capital,1776
81676,30SEP2022,ALL,ALL,7 to 14,Core,8234
81677,30SEP2022,ALL,ALL,ALL,ALL,46475
81678,30SEP2022,ALL,ALL,ALL,Capacity Building,45723
81679,30SEP2022,ALL,ALL,ALL,Capital,12476
81680,30SEP2022,ALL,ALL,ALL,Core,40602
81681,30SEP2022,ALL,Autism,0 to 6,ALL,1732
81682,30SEP2022,ALL,Autism,0 to 6,Capacity Building,1730
81683,30SEP2022,ALL,Autism,0 to 6,Capital,319
81684,30SEP2022,ALL,Autism,0 to 6,Core,1577
81685,30SEP2022,ALL,Autism,15 to 18,ALL,2842
81686,30SEP2022,ALL,Autism,15 to 18,Capacity Building,2799
81687,30SEP2022,ALL,Autism,15 to 18,Capital,172
81688,30SEP2022,ALL,Autism,15 to 18,Core,1993
81689,30SEP2022,ALL,Autism,19 to 24,ALL,2163
81690,30SEP2022,ALL,Autism,19 to 24,Capacity Building,2105
81691,30SEP2022,ALL,Autism,19 to 24,Capital,165
81692,30SEP2022,ALL,Autism,19 to 24,Core,1854
81693,30SEP2022,ALL,Autism,25 to 34,ALL,1235
81694,30SEP2022,ALL,Autism,25 to 34,Capacity Building,1189
81695,30SEP2022,ALL,Autism,25 to 34,Capital,133
81696,30SEP2022,ALL,Autism,25 to 34,Core,1131
81697,30SEP2022,ALL,Autism,35 to 44,ALL,451
81698,30SEP2022,ALL,Autism,35 to 44,Capacity Building,439
81699,30SEP2022,ALL,Autism,35 to 44,Capital,54
81700,30SEP2022,ALL,Autism,35 to 44,Core,420
81701,30SEP2022,ALL,Autism,45 to 54,ALL,191
81702,30SEP2022,ALL,Autism,45 to 54,Capacity Building,187
81703,30SEP2022,ALL,Autism,45 to 54,Capital,29
81704,30SEP2022,ALL,Autism,45 to 54,Core,180
81705,30SEP2022,ALL,Autism,55 to 64,ALL,83
81706,30SEP2022,ALL,Autism,55 to 64,Capacity Building,81
81707,30SEP2022,ALL,Autism,55 to 64,Capital,15
81708,30SEP2022,ALL,Autism,55 to 64,Core,78
81709,30SEP2022,ALL,Autism,65+,ALL,17
81710,30SEP2022,ALL,Autism,65+,Capacity Building,16
81711,30SEP2022,ALL,Autism,65+,Capital,11
81712,30SEP2022,ALL,Autism,65+,Core,17
81713,30SEP2022,ALL,Autism,7 to 14,ALL,8018
81714,30SEP2022,ALL,Autism,7 to 14,Capacity Building,7988
81715,30SEP2022,ALL,Autism,7 to 14,Capital,688
81716,30SEP2022,ALL,Autism,7 to 14,Core,5460
81717,30SEP2022,ALL,Autism,ALL,ALL,16732
81718,30SEP2022,ALL,Autism,ALL,Capacity Building,16534
81719,30SEP2022,ALL,Autism,ALL,Capital,1580
81720,30SEP2022,ALL,Autism,ALL,Core,12710
81721,30SEP2022,ALL,Cerebral Palsy,0 to 6,ALL,221
81722,30SEP2022,ALL,Cerebral Palsy,0 to 6,Capacity Building,221
81723,30SEP2022,ALL,Cerebral Palsy,0 to 6,Capital,182
81724,30SEP2022,ALL,Cerebral Palsy,0 to 6,Core,216
81725,30SEP2022,ALL,Cerebral Palsy,15 to 18,ALL,198
81726,30SEP2022,ALL,Cerebral Palsy,15 to 18,Capacity Building,197
81727,30SEP2022,ALL,Cerebral Palsy,15 to 18,Capital,138
81728,30SEP2022,ALL,Cerebral Palsy,15 to 18,Core,186
81729,30SEP2022,ALL,Cerebral Palsy,19 to 24,ALL,201
81730,30SEP2022,ALL,Cerebral Palsy,19 to 24,Capacity Building,201
81731,30SEP2022,ALL,Cerebral Palsy,19 to 24,Capital,146
81732,30SEP2022,ALL,Cerebral Palsy,19 to 24,Core,192
81733,30SEP2022,ALL,Cerebral Palsy,25 to 34,ALL,239
81734,30SEP2022,ALL,Cerebral Palsy,25 to 34,Capacity Building,238
81735,30SEP2022,ALL,Cerebral Palsy,25 to 34,Capital,189
81736,30SEP2022,ALL,Cerebral Palsy,25 to 34,Core,235
81737,30SEP2022,ALL,Cerebral Palsy,35 to 44,ALL,168
81738,30SEP2022,ALL,Cerebral Palsy,35 to 44,Capacity Building,167
81739,30SEP2022,ALL,Cerebral Palsy,35 to 44,Capital,140
81740,30SEP2022,ALL,Cerebral Palsy,35 to 44,Core,168
81741,30SEP2022,ALL,Cerebral Palsy,45 to 54,ALL,153
81742,30SEP2022,ALL,Cerebral Palsy,45 to 54,Capacity Building,153
81743,30SEP2022,ALL,Cerebral Palsy,45 to 54,Capital,129
81744,30SEP2022,ALL,Cerebral Palsy,45 to 54,Core,153
81745,30SEP2022,ALL,Cerebral Palsy,55 to 64,ALL,112
81746,30SEP2022,ALL,Cerebral Palsy,55 to 64,Capacity Building,112
81747,30SEP2022,ALL,Cerebral Palsy,55 to 64,Capital,99
81748,30SEP2022,ALL,Cerebral Palsy,55 to 64,Core,112
81749,30SEP2022,ALL,Cerebral Palsy,65+,ALL,29
81750,30SEP2022,ALL,Cerebral Palsy,65+,Capacity Building,29
81751,30SEP2022,ALL,Cerebral Palsy,65+,Capital,27
81752,30SEP2022,ALL,Cerebral Palsy,65+,Core,29
81753,30SEP2022,ALL,Cerebral Palsy,7 to 14,ALL,428
81754,30SEP2022,ALL,Cerebral Palsy,7 to 14,Capacity Building,427
81755,30SEP2022,ALL,Cerebral Palsy,7 to 14,Capital,327
81756,30SEP2022,ALL,Cerebral Palsy,7 to 14,Core,391
81757,30SEP2022,ALL,Cerebral Palsy,ALL,ALL,1749
81758,30SEP2022,ALL,Cerebral Palsy,ALL,Capacity Building,1745
81759,30SEP2022,ALL,Cerebral Palsy,ALL,Capital,1377
81760,30SEP2022,ALL,Cerebral Palsy,ALL,Core,1682
81761,30SEP2022,ALL,Developmental delay,0 to 6,ALL,1862
81762,30SEP2022,ALL,Developmental delay,0 to 6,Capacity Building,1860
81763,30SEP2022,ALL,Developmental delay,0 to 6,Capital,183
81764,30SEP2022,ALL,Developmental delay,0 to 6,Core,1543
81793,30SEP2022,ALL,Developmental delay,7 to 14,ALL,211
81794,30SEP2022,ALL,Developmental delay,7 to 14,Capacity Building,210
81795,30SEP2022,ALL,Developmental delay,7 to 14,Capital,13
81796,30SEP2022,ALL,Developmental delay,7 to 14,Core,124
81797,30SEP2022,ALL,Developmental delay,ALL,ALL,2073
81798,30SEP2022,ALL,Developmental delay,ALL,Capacity Building,2070
81799,30SEP2022,ALL,Developmental delay,ALL,Capital,196
81800,30SEP2022,ALL,Developmental delay,ALL,Core,1667
81801,30SEP2022,ALL,Global developmental delay,0 to 6,ALL,819
81802,30SEP2022,ALL,Global developmental delay,0 to 6,Capacity Building,819
81803,30SEP2022,ALL,Global developmental delay,0 to 6,Capital,135
81804,30SEP2022,ALL,Global developmental delay,0 to 6,Core,683
81805,30SEP2022,ALL,Global developmental delay,15 to 18,ALL,11
81806,30SEP2022,ALL,Global developmental delay,15 to 18,Capacity Building,11
81808,30SEP2022,ALL,Global developmental delay,15 to 18,Core,11
81833,30SEP2022,ALL,Global developmental delay,7 to 14,ALL,376
81834,30SEP2022,ALL,Global developmental delay,7 to 14,Capacity Building,376
81835,30SEP2022,ALL,Global developmental delay,7 to 14,Capital,54
81836,30SEP2022,ALL,Global developmental delay,7 to 14,Core,237
81837,30SEP2022,ALL,Global developmental delay,ALL,ALL,1196
81838,30SEP2022,ALL,Global developmental delay,ALL,Capacity Building,1196
81839,30SEP2022,ALL,Global developmental delay,ALL,Capital,189
81840,30SEP2022,ALL,Global developmental delay,ALL,Core,921
81841,30SEP2022,ALL,Hearing Impairment,0 to 6,ALL,287
81842,30SEP2022,ALL,Hearing Impairment,0 to 6,Capacity Building,286
81843,30SEP2022,ALL,Hearing Impairment,0 to 6,Capital,19
81844,30SEP2022,ALL,Hearing Impairment,0 to 6,Core,280
81845,30SEP2022,ALL,Hearing Impairment,15 to 18,ALL,142
81846,30SEP2022,ALL,Hearing Impairment,15 to 18,Capacity Building,118
81847,30SEP2022,ALL,Hearing Impairment,15 to 18,Capital,14
81848,30SEP2022,ALL,Hearing Impairment,15 to 18,Core,137
81849,30SEP2022,ALL,Hearing Impairment,19 to 24,ALL,173
81850,30SEP2022,ALL,Hearing Impairment,19 to 24,Capacity Building,129
81851,30SEP2022,ALL,Hearing Impairment,19 to 24,Capital,21
81852,30SEP2022,ALL,Hearing Impairment,19 to 24,Core,172
81853,30SEP2022,ALL,Hearing Impairment,25 to 34,ALL,200
81854,30SEP2022,ALL,Hearing Impairment,25 to 34,Capacity Building,183
81855,30SEP2022,ALL,Hearing Impairment,25 to 34,Capital,70
81856,30SEP2022,ALL,Hearing Impairment,25 to 34,Core,195
81857,30SEP2022,ALL,Hearing Impairment,35 to 44,ALL,145
81858,30SEP2022,ALL,Hearing Impairment,35 to 44,Capacity Building,139
81859,30SEP2022,ALL,Hearing Impairment,35 to 44,Capital,58
81860,30SEP2022,ALL,Hearing Impairment,35 to 44,Core,140
81861,30SEP2022,ALL,Hearing Impairment,45 to 54,ALL,226
81862,30SEP2022,ALL,Hearing Impairment,45 to 54,Capacity Building,215
81863,30SEP2022,ALL,Hearing Impairment,45 to 54,Capital,82
81864,30SEP2022,ALL,Hearing Impairment,45 to 54,Core,224
81865,30SEP2022,ALL,Hearing Impairment,55 to 64,ALL,266
81866,30SEP2022,ALL,Hearing Impairment,55 to 64,Capacity Building,253
81867,30SEP2022,ALL,Hearing Impairment,55 to 64,Capital,95
81868,30SEP2022,ALL,Hearing Impairment,55 to 64,Core,260
81869,30SEP2022,ALL,Hearing Impairment,65+,ALL,68
81870,30SEP2022,ALL,Hearing Impairment,65+,Capacity Building,62
81871,30SEP2022,ALL,Hearing Impairment,65+,Capital,31
81872,30SEP2022,ALL,Hearing Impairment,65+,Core,66
81873,30SEP2022,ALL,Hearing Impairment,7 to 14,ALL,487
81874,30SEP2022,ALL,Hearing Impairment,7 to 14,Capacity Building,437
81875,30SEP2022,ALL,Hearing Impairment,7 to 14,Capital,56
81876,30SEP2022,ALL,Hearing Impairment,7 to 14,Core,479
81877,30SEP2022,ALL,Hearing Impairment,ALL,ALL,1994
81878,30SEP2022,ALL,Hearing Impairment,ALL,Capacity Building,1822
81879,30SEP2022,ALL,Hearing Impairment,ALL,Capital,446
81880,30SEP2022,ALL,Hearing Impairment,ALL,Core,1953
81881,30SEP2022,ALL,Intellectual Disability,0 to 6,ALL,359
81882,30SEP2022,ALL,Intellectual Disability,0 to 6,Capacity Building,359
81883,30SEP2022,ALL,Intellectual Disability,0 to 6,Capital,189
81884,30SEP2022,ALL,Intellectual Disability,0 to 6,Core,335
81885,30SEP2022,ALL,Intellectual Disability,15 to 18,ALL,974
81886,30SEP2022,ALL,Intellectual Disability,15 to 18,Capacity Building,970
81887,30SEP2022,ALL,Intellectual Disability,15 to 18,Capital,183
81888,30SEP2022,ALL,Intellectual Disability,15 to 18,Core,781
81889,30SEP2022,ALL,Intellectual Disability,19 to 24,ALL,1392
81890,30SEP2022,ALL,Intellectual Disability,19 to 24,Capacity Building,1351
81891,30SEP2022,ALL,Intellectual Disability,19 to 24,Capital,232
81892,30SEP2022,ALL,Intellectual Disability,19 to 24,Core,1289
81893,30SEP2022,ALL,Intellectual Disability,25 to 34,ALL,1701
81894,30SEP2022,ALL,Intellectual Disability,25 to 34,Capacity Building,1643
81895,30SEP2022,ALL,Intellectual Disability,25 to 34,Capital,357
81896,30SEP2022,ALL,Intellectual Disability,25 to 34,Core,1635
81897,30SEP2022,ALL,Intellectual Disability,35 to 44,ALL,1071
81898,30SEP2022,ALL,Intellectual Disability,35 to 44,Capacity Building,1033
81899,30SEP2022,ALL,Intellectual Disability,35 to 44,Capital,311
81900,30SEP2022,ALL,Intellectual Disability,35 to 44,Core,1054
81901,30SEP2022,ALL,Intellectual Disability,45 to 54,ALL,896
81902,30SEP2022,ALL,Intellectual Disability,45 to 54,Capacity Building,855
81903,30SEP2022,ALL,Intellectual Disability,45 to 54,Capital,309
81904,30SEP2022,ALL,Intellectual Disability,45 to 54,Core,881
81905,30SEP2022,ALL,Intellectual Disability,55 to 64,ALL,792
81906,30SEP2022,ALL,Intellectual Disability,55 to 64,Capacity Building,762
81907,30SEP2022,ALL,Intellectual Disability,55 to 64,Capital,328
81908,30SEP2022,ALL,Intellectual Disability,55 to 64,Core,783
81909,30SEP2022,ALL,Intellectual Disability,65+,ALL,229
81910,30SEP2022,ALL,Intellectual Disability,65+,Capacity Building,223
81911,30SEP2022,ALL,Intellectual Disability,65+,Capital,116
81912,30SEP2022,ALL,Intellectual Disability,65+,Core,228
81913,30SEP2022,ALL,Intellectual Disability,7 to 14,ALL,1305
81914,30SEP2022,ALL,Intellectual Disability,7 to 14,Capacity Building,1300
81915,30SEP2022,ALL,Intellectual Disability,7 to 14,Capital,360
81916,30SEP2022,ALL,Intellectual Disability,7 to 14,Core,1012
81917,30SEP2022,ALL,Intellectual Disability,ALL,ALL,8719
81918,30SEP2022,ALL,Intellectual Disability,ALL,Capacity Building,8496
81919,30SEP2022,ALL,Intellectual Disability,ALL,Capital,2385
81920,30SEP2022,ALL,Intellectual Disability,ALL,Core,7998
81929,30SEP2022,ALL,Multiple Sclerosis,19 to 24,ALL,11
81930,30SEP2022,ALL,Multiple Sclerosis,19 to 24,Capacity Building,11
81931,30SEP2022,ALL,Multiple Sclerosis,19 to 24,Capital,11
81932,30SEP2022,ALL,Multiple Sclerosis,19 to 24,Core,11
81933,30SEP2022,ALL,Multiple Sclerosis,25 to 34,ALL,45
81934,30SEP2022,ALL,Multiple Sclerosis,25 to 34,Capacity Building,45
81935,30SEP2022,ALL,Multiple Sclerosis,25 to 34,Capital,28
81936,30SEP2022,ALL,Multiple Sclerosis,25 to 34,Core,45
81937,30SEP2022,ALL,Multiple Sclerosis,35 to 44,ALL,110
81938,30SEP2022,ALL,Multiple Sclerosis,35 to 44,Capacity Building,110
81939,30SEP2022,ALL,Multiple Sclerosis,35 to 44,Capital,55
81940,30SEP2022,ALL,Multiple Sclerosis,35 to 44,Core,108
81941,30SEP2022,ALL,Multiple Sclerosis,45 to 54,ALL,238
81942,30SEP2022,ALL,Multiple Sclerosis,45 to 54,Capacity Building,237
81943,30SEP2022,ALL,Multiple Sclerosis,45 to 54,Capital,143
81944,30SEP2022,ALL,Multiple Sclerosis,45 to 54,Core,236
81945,30SEP2022,ALL,Multiple Sclerosis,55 to 64,ALL,354
81946,30SEP2022,ALL,Multiple Sclerosis,55 to 64,Capacity Building,354
81947,30SEP2022,ALL,Multiple Sclerosis,55 to 64,Capital,279
81948,30SEP2022,ALL,Multiple Sclerosis,55 to 64,Core,353
81949,30SEP2022,ALL,Multiple Sclerosis,65+,ALL,144
81950,30SEP2022,ALL,Multiple Sclerosis,65+,Capacity Building,144
81951,30SEP2022,ALL,Multiple Sclerosis,65+,Capital,113
81952,30SEP2022,ALL,Multiple Sclerosis,65+,Core,144
81957,30SEP2022,ALL,Multiple Sclerosis,ALL,ALL,896
81958,30SEP2022,ALL,Multiple Sclerosis,ALL,Capacity Building,895
81959,30SEP2022,ALL,Multiple Sclerosis,ALL,Capital,619
81960,30SEP2022,ALL,Multiple Sclerosis,ALL,Core,891
81961,30SEP2022,ALL,Other,0 to 6,ALL,27
81962,30SEP2022,ALL,Other,0 to 6,Capacity Building,27
81963,30SEP2022,ALL,Other,0 to 6,Capital,11
81964,30SEP2022,ALL,Other,0 to 6,Core,25
81965,30SEP2022,ALL,Other,15 to 18,ALL,23
81966,30SEP2022,ALL,Other,15 to 18,Capacity Building,23
81967,30SEP2022,ALL,Other,15 to 18,Capital,11
81968,30SEP2022,ALL,Other,15 to 18,Core,20
81969,30SEP2022,ALL,Other,19 to 24,ALL,27
81970,30SEP2022,ALL,Other,19 to 24,Capacity Building,27
81971,30SEP2022,ALL,Other,19 to 24,Capital,15
81972,30SEP2022,ALL,Other,19 to 24,Core,26
81973,30SEP2022,ALL,Other,25 to 34,ALL,38
81974,30SEP2022,ALL,Other,25 to 34,Capacity Building,36
81975,30SEP2022,ALL,Other,25 to 34,Capital,25
81976,30SEP2022,ALL,Other,25 to 34,Core,37
81977,30SEP2022,ALL,Other,35 to 44,ALL,75
81978,30SEP2022,ALL,Other,35 to 44,Capacity Building,75
81979,30SEP2022,ALL,Other,35 to 44,Capital,59
81980,30SEP2022,ALL,Other,35 to 44,Core,75
81981,30SEP2022,ALL,Other,45 to 54,ALL,119
81982,30SEP2022,ALL,Other,45 to 54,Capacity Building,119
81983,30SEP2022,ALL,Other,45 to 54,Capital,95
81984,30SEP2022,ALL,Other,45 to 54,Core,118
81985,30SEP2022,ALL,Other,55 to 64,ALL,229
81986,30SEP2022,ALL,Other,55 to 64,Capacity Building,229
81987,30SEP2022,ALL,Other,55 to 64,Capital,160
81988,30SEP2022,ALL,Other,55 to 64,Core,228
81989,30SEP2022,ALL,Other,65+,ALL,63
81990,30SEP2022,ALL,Other,65+,Capacity Building,63
81991,30SEP2022,ALL,Other,65+,Capital,47
81992,30SEP2022,ALL,Other,65+,Core,63
81993,30SEP2022,ALL,Other,7 to 14,ALL,94
81994,30SEP2022,ALL,Other,7 to 14,Capacity Building,94
81995,30SEP2022,ALL,Other,7 to 14,Capital,24
81996,30SEP2022,ALL,Other,7 to 14,Core,60
81997,30SEP2022,ALL,Other,ALL,ALL,695
81998,30SEP2022,ALL,Other,ALL,Capacity Building,693
81999,30SEP2022,ALL,Other,ALL,Capital,444
82000,30SEP2022,ALL,Other,ALL,Core,652
82001,30SEP2022,ALL,Other Neurological,0 to 6,ALL,46
82002,30SEP2022,ALL,Other Neurological,0 to 6,Capacity Building,46
82003,30SEP2022,ALL,Other Neurological,0 to 6,Capital,34
82004,30SEP2022,ALL,Other Neurological,0 to 6,Core,45
82005,30SEP2022,ALL,Other Neurological,15 to 18,ALL,90
82006,30SEP2022,ALL,Other Neurological,15 to 18,Capacity Building,90
82007,30SEP2022,ALL,Other Neurological,15 to 18,Capital,52
82008,30SEP2022,ALL,Other Neurological,15 to 18,Core,80
82009,30SEP2022,ALL,Other Neurological,19 to 24,ALL,93
82010,30SEP2022,ALL,Other Neurological,19 to 24,Capacity Building,92
82011,30SEP2022,ALL,Other Neurological,19 to 24,Capital,52
82012,30SEP2022,ALL,Other Neurological,19 to 24,Core,85
82013,30SEP2022,ALL,Other Neurological,25 to 34,ALL,149
82014,30SEP2022,ALL,Other Neurological,25 to 34,Capacity Building,144
82015,30SEP2022,ALL,Other Neurological,25 to 34,Capital,88
82016,30SEP2022,ALL,Other Neurological,25 to 34,Core,143
82017,30SEP2022,ALL,Other Neurological,35 to 44,ALL,184
82018,30SEP2022,ALL,Other Neurological,35 to 44,Capacity Building,181
82019,30SEP2022,ALL,Other Neurological,35 to 44,Capital,124
82020,30SEP2022,ALL,Other Neurological,35 to 44,Core,182
82021,30SEP2022,ALL,Other Neurological,45 to 54,ALL,309
82022,30SEP2022,ALL,Other Neurological,45 to 54,Capacity Building,305
82023,30SEP2022,ALL,Other Neurological,45 to 54,Capital,229
82024,30SEP2022,ALL,Other Neurological,45 to 54,Core,305
82025,30SEP2022,ALL,Other Neurological,55 to 64,ALL,753
82026,30SEP2022,ALL,Other Neurological,55 to 64,Capacity Building,751
82027,30SEP2022,ALL,Other Neurological,55 to 64,Capital,472
82028,30SEP2022,ALL,Other Neurological,55 to 64,Core,744
82029,30SEP2022,ALL,Other Neurological,65+,ALL,321
82030,30SEP2022,ALL,Other Neurological,65+,Capacity Building,317
82031,30SEP2022,ALL,Other Neurological,65+,Capital,208
82032,30SEP2022,ALL,Other Neurological,65+,Core,320
82033,30SEP2022,ALL,Other Neurological,7 to 14,ALL,172
82034,30SEP2022,ALL,Other Neurological,7 to 14,Capacity Building,172
82035,30SEP2022,ALL,Other Neurological,7 to 14,Capital,96
82036,30SEP2022,ALL,Other Neurological,7 to 14,Core,160
82037,30SEP2022,ALL,Other Neurological,ALL,ALL,2117
82038,30SEP2022,ALL,Other Neurological,ALL,Capacity Building,2098
82039,30SEP2022,ALL,Other Neurological,ALL,Capital,1355
82040,30SEP2022,ALL,Other Neurological,ALL,Core,2064
82041,30SEP2022,ALL,Other Physical,0 to 6,ALL,40
82042,30SEP2022,ALL,Other Physical,0 to 6,Capacity Building,40
82043,30SEP2022,ALL,Other Physical,0 to 6,Capital,24
82044,30SEP2022,ALL,Other Physical,0 to 6,Core,36
82045,30SEP2022,ALL,Other Physical,15 to 18,ALL,64
82046,30SEP2022,ALL,Other Physical,15 to 18,Capacity Building,63
82047,30SEP2022,ALL,Other Physical,15 to 18,Capital,39
82048,30SEP2022,ALL,Other Physical,15 to 18,Core,61
82049,30SEP2022,ALL,Other Physical,19 to 24,ALL,68
82050,30SEP2022,ALL,Other Physical,19 to 24,Capacity Building,68
82051,30SEP2022,ALL,Other Physical,19 to 24,Capital,48
82052,30SEP2022,ALL,Other Physical,19 to 24,Core,62
82053,30SEP2022,ALL,Other Physical,25 to 34,ALL,118
82054,30SEP2022,ALL,Other Physical,25 to 34,Capacity Building,117
82055,30SEP2022,ALL,Other Physical,25 to 34,Capital,90
82056,30SEP2022,ALL,Other Physical,25 to 34,Core,116
82057,30SEP2022,ALL,Other Physical,35 to 44,ALL,182
82058,30SEP2022,ALL,Other Physical,35 to 44,Capacity Building,181
82059,30SEP2022,ALL,Other Physical,35 to 44,Capital,149
82060,30SEP2022,ALL,Other Physical,35 to 44,Core,182
82061,30SEP2022,ALL,Other Physical,45 to 54,ALL,337
82062,30SEP2022,ALL,Other Physical,45 to 54,Capacity Building,335
82063,30SEP2022,ALL,Other Physical,45 to 54,Capital,282
82064,30SEP2022,ALL,Other Physical,45 to 54,Core,331
82065,30SEP2022,ALL,Other Physical,55 to 64,ALL,585
82066,30SEP2022,ALL,Other Physical,55 to 64,Capacity Building,583
82067,30SEP2022,ALL,Other Physical,55 to 64,Capital,488
82068,30SEP2022,ALL,Other Physical,55 to 64,Core,581
82069,30SEP2022,ALL,Other Physical,65+,ALL,273
82070,30SEP2022,ALL,Other Physical,65+,Capacity Building,269
82071,30SEP2022,ALL,Other Physical,65+,Capital,223
82072,30SEP2022,ALL,Other Physical,65+,Core,273
82073,30SEP2022,ALL,Other Physical,7 to 14,ALL,126
82074,30SEP2022,ALL,Other Physical,7 to 14,Capacity Building,125
82075,30SEP2022,ALL,Other Physical,7 to 14,Capital,81
82076,30SEP2022,ALL,Other Physical,7 to 14,Core,116
82077,30SEP2022,ALL,Other Physical,ALL,ALL,1793
82078,30SEP2022,ALL,Other Physical,ALL,Capacity Building,1781
82079,30SEP2022,ALL,Other Physical,ALL,Capital,1424
82080,30SEP2022,ALL,Other Physical,ALL,Core,1758
82081,30SEP2022,ALL,Other Sensory/Speech,0 to 6,ALL,11
82082,30SEP2022,ALL,Other Sensory/Speech,0 to 6,Capacity Building,11
82083,30SEP2022,ALL,Other Sensory/Speech,0 to 6,Capital,11
82084,30SEP2022,ALL,Other Sensory/Speech,0 to 6,Core,11
82085,30SEP2022,ALL,Other Sensory/Speech,15 to 18,ALL,11
82086,30SEP2022,ALL,Other Sensory/Speech,15 to 18,Capacity Building,11
