Key,RprtDt,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppCatg,Utlstn,PrvdrCnt
81646,30SEP2022,ALL,ALL,15 to 18,Capacity Building,49,579.0
81647,30SEP2022,ALL,ALL,15 to 18,Capital,54,154.0
81648,30SEP2022,ALL,ALL,15 to 18,Core,76,452.0
81649,30SEP2022,ALL,ALL,19 to 24,ALL,69,920.0
81650,30SEP2022,ALL,ALL,19 to 24,Capacity Building,49,623.0
81651,30SEP2022,ALL,ALL,19 to 24,Capital,41,184.0
81652,30SEP2022,ALL,ALL,19 to 24,Core,76,557.0
81653,30SEP2022,ALL,ALL,25 to 34,ALL,77,1026.0
81654,30SEP2022,ALL,ALL,25 to 34,Capacity Building,56,634.0
81655,30SEP2022,ALL,ALL,25 to 34,Capital,44,245.0
81656,30SEP2022,ALL,ALL,25 to 34,Core,82,659.0
81657,30SEP2022,ALL,ALL,35 to 44,ALL,76,1069.0
81658,30SEP2022,ALL,ALL,35 to 44,Capacity Building,58,617.0
81659,30SEP2022,ALL,ALL,35 to 44,Capital,46,266.0
81660,30SEP2022,ALL,ALL,35 to 44,Core,81,696.0
81661,30SEP2022,ALL,ALL,45 to 54,ALL,75,1113.0
81662,30SEP2022,ALL,ALL,45 to 54,Capacity Building,60,624.0
81663,30SEP2022,ALL,ALL,45 to 54,Capital,45,321.0
81664,30SEP2022,ALL,ALL,45 to 54,Core,81,758.0
81665,30SEP2022,ALL,ALL,55 to 64,ALL,74,1150.0
81666,30SEP2022,ALL,ALL,55 to 64,Capacity Building,63,658.0
81667,30SEP2022,ALL,ALL,55 to 64,Capital,46,360.0
81668,30SEP2022,ALL,ALL,55 to 64,Core,78,776.0
81669,30SEP2022,ALL,ALL,65+,ALL,71,716.0
81670,30SEP2022,ALL,ALL,65+,Capacity Building,62,393.0
81671,30SEP2022,ALL,ALL,65+,Capital,48,215.0
81672,30SEP2022,ALL,ALL,65+,Core,75,483.0
81673,30SEP2022,ALL,ALL,7 to 14,ALL,68,1122.0
81674,30SEP2022,ALL,ALL,7 to 14,Capacity Building,62,829.0
81675,30SEP2022,ALL,ALL,7 to 14,Capital,53,230.0
81676,30SEP2022,ALL,ALL,7 to 14,Core,81,551.0
81677,30SEP2022,ALL,ALL,ALL,ALL,73,2429.0
81678,30SEP2022,ALL,ALL,ALL,Capacity Building,58,1661.0
81679,30SEP2022,ALL,ALL,ALL,Capital,48,607.0
81680,30SEP2022,ALL,ALL,ALL,Core,79,1419.0
81681,30SEP2022,ALL,Autism,0 to 6,ALL,69,525.0
81682,30SEP2022,ALL,Autism,0 to 6,Capacity Building,68,437.0
81683,30SEP2022,ALL,Autism,0 to 6,Capital,56,77.0
81684,30SEP2022,ALL,Autism,0 to 6,Core,82,191.0
81685,30SEP2022,ALL,Autism,15 to 18,ALL,61,570.0
81686,30SEP2022,ALL,Autism,15 to 18,Capacity Building,49,458.0
81687,30SEP2022,ALL,Autism,15 to 18,Capital,57,54.0
81688,30SEP2022,ALL,Autism,15 to 18,Core,75,285.0
81689,30SEP2022,ALL,Autism,19 to 24,ALL,67,548.0
81690,30SEP2022,ALL,Autism,19 to 24,Capacity Building,47,403.0
81691,30SEP2022,ALL,Autism,19 to 24,Capital,27,56.0
81692,30SEP2022,ALL,Autism,19 to 24,Core,76,319.0
81693,30SEP2022,ALL,Autism,25 to 34,ALL,78,483.0
81694,30SEP2022,ALL,Autism,25 to 34,Capacity Building,55,326.0
81695,30SEP2022,ALL,Autism,25 to 34,Capital,15,64.0
81696,30SEP2022,ALL,Autism,25 to 34,Core,83,307.0
81697,30SEP2022,ALL,Autism,35 to 44,ALL,81,306.0
81698,30SEP2022,ALL,Autism,35 to 44,Capacity Building,60,201.0
81699,30SEP2022,ALL,Autism,35 to 44,Capital,9,33.0
81700,30SEP2022,ALL,Autism,35 to 44,Core,86,177.0
81701,30SEP2022,ALL,Autism,45 to 54,ALL,84,209.0
81702,30SEP2022,ALL,Autism,45 to 54,Capacity Building,58,153.0
81703,30SEP2022,ALL,Autism,45 to 54,Capital,25,27.0
81704,30SEP2022,ALL,Autism,45 to 54,Core,90,108.0
81705,30SEP2022,ALL,Autism,55 to 64,ALL,82,148.0
81706,30SEP2022,ALL,Autism,55 to 64,Capacity Building,62,105.0
81707,30SEP2022,ALL,Autism,55 to 64,Capital,10,6.0
81708,30SEP2022,ALL,Autism,55 to 64,Core,87,83.0
81709,30SEP2022,ALL,Autism,65+,ALL,75,43.0
81710,30SEP2022,ALL,Autism,65+,Capacity Building,37,23.0
81712,30SEP2022,ALL,Autism,65+,Core,86,27.0
81713,30SEP2022,ALL,Autism,7 to 14,ALL,67,830.0
81714,30SEP2022,ALL,Autism,7 to 14,Capacity Building,62,660.0
81715,30SEP2022,ALL,Autism,7 to 14,Capital,47,119.0
81716,30SEP2022,ALL,Autism,7 to 14,Core,80,400.0
81717,30SEP2022,ALL,Autism,ALL,ALL,70,1314.0
81718,30SEP2022,ALL,Autism,ALL,Capacity Building,58,994.0
81719,30SEP2022,ALL,Autism,ALL,Capital,36,187.0
81720,30SEP2022,ALL,Autism,ALL,Core,80,702.0
81721,30SEP2022,ALL,Cerebral Palsy,0 to 6,ALL,76,269.0
81722,30SEP2022,ALL,Cerebral Palsy,0 to 6,Capacity Building,73,151.0
81723,30SEP2022,ALL,Cerebral Palsy,0 to 6,Capital,75,114.0
81724,30SEP2022,ALL,Cerebral Palsy,0 to 6,Core,79,127.0
81725,30SEP2022,ALL,Cerebral Palsy,15 to 18,ALL,71,227.0
81726,30SEP2022,ALL,Cerebral Palsy,15 to 18,Capacity Building,59,126.0
81727,30SEP2022,ALL,Cerebral Palsy,15 to 18,Capital,65,79.0
81728,30SEP2022,ALL,Cerebral Palsy,15 to 18,Core,77,122.0
81729,30SEP2022,ALL,Cerebral Palsy,19 to 24,ALL,75,255.0
81730,30SEP2022,ALL,Cerebral Palsy,19 to 24,Capacity Building,59,135.0
81731,30SEP2022,ALL,Cerebral Palsy,19 to 24,Capital,50,93.0
81732,30SEP2022,ALL,Cerebral Palsy,19 to 24,Core,82,149.0
81733,30SEP2022,ALL,Cerebral Palsy,25 to 34,ALL,82,325.0
81734,30SEP2022,ALL,Cerebral Palsy,25 to 34,Capacity Building,64,179.0
81735,30SEP2022,ALL,Cerebral Palsy,25 to 34,Capital,51,103.0
81736,30SEP2022,ALL,Cerebral Palsy,25 to 34,Core,86,194.0
81737,30SEP2022,ALL,Cerebral Palsy,35 to 44,ALL,83,285.0
81738,30SEP2022,ALL,Cerebral Palsy,35 to 44,Capacity Building,64,160.0
81739,30SEP2022,ALL,Cerebral Palsy,35 to 44,Capital,38,94.0
81740,30SEP2022,ALL,Cerebral Palsy,35 to 44,Core,88,168.0
81741,30SEP2022,ALL,Cerebral Palsy,45 to 54,ALL,84,282.0
81742,30SEP2022,ALL,Cerebral Palsy,45 to 54,Capacity Building,66,145.0
81743,30SEP2022,ALL,Cerebral Palsy,45 to 54,Capital,42,92.0
81744,30SEP2022,ALL,Cerebral Palsy,45 to 54,Core,90,167.0
81745,30SEP2022,ALL,Cerebral Palsy,55 to 64,ALL,84,255.0
81746,30SEP2022,ALL,Cerebral Palsy,55 to 64,Capacity Building,62,130.0
81747,30SEP2022,ALL,Cerebral Palsy,55 to 64,Capital,44,96.0
81748,30SEP2022,ALL,Cerebral Palsy,55 to 64,Core,90,157.0
81749,30SEP2022,ALL,Cerebral Palsy,65+,ALL,72,82.0
81750,30SEP2022,ALL,Cerebral Palsy,65+,Capacity Building,68,47.0
81751,30SEP2022,ALL,Cerebral Palsy,65+,Capital,93,29.0
81752,30SEP2022,ALL,Cerebral Palsy,65+,Core,71,45.0
81753,30SEP2022,ALL,Cerebral Palsy,7 to 14,ALL,72,324.0
81754,30SEP2022,ALL,Cerebral Palsy,7 to 14,Capacity Building,64,184.0
81755,30SEP2022,ALL,Cerebral Palsy,7 to 14,Capital,55,124.0
81756,30SEP2022,ALL,Cerebral Palsy,7 to 14,Core,85,159.0
81757,30SEP2022,ALL,Cerebral Palsy,ALL,ALL,79,745.0
81758,30SEP2022,ALL,Cerebral Palsy,ALL,Capacity Building,65,416.0
81759,30SEP2022,ALL,Cerebral Palsy,ALL,Capital,55,266.0
81760,30SEP2022,ALL,Cerebral Palsy,ALL,Core,86,438.0
81761,30SEP2022,ALL,Developmental delay,0 to 6,ALL,56,298.0
81762,30SEP2022,ALL,Developmental delay,0 to 6,Capacity Building,54,246.0
81763,30SEP2022,ALL,Developmental delay,0 to 6,Capital,59,41.0
81764,30SEP2022,ALL,Developmental delay,0 to 6,Core,71,95.0
81793,30SEP2022,ALL,Developmental delay,7 to 14,ALL,56,117.0
81794,30SEP2022,ALL,Developmental delay,7 to 14,Capacity Building,56,103.0
81795,30SEP2022,ALL,Developmental delay,7 to 14,Capital,9,10.0
81796,30SEP2022,ALL,Developmental delay,7 to 14,Core,64,27.0
81797,30SEP2022,ALL,Developmental delay,ALL,ALL,56,312.0
81798,30SEP2022,ALL,Developmental delay,ALL,Capacity Building,54,261.0
81799,30SEP2022,ALL,Developmental delay,ALL,Capital,56,42.0
81800,30SEP2022,ALL,Developmental delay,ALL,Core,71,101.0
81801,30SEP2022,ALL,Global developmental delay,0 to 6,ALL,61,263.0
81802,30SEP2022,ALL,Global developmental delay,0 to 6,Capacity Building,56,197.0
81803,30SEP2022,ALL,Global developmental delay,0 to 6,Capital,81,68.0
81804,30SEP2022,ALL,Global developmental delay,0 to 6,Core,77,100.0
81833,30SEP2022,ALL,Global developmental delay,7 to 14,ALL,61,142.0
81834,30SEP2022,ALL,Global developmental delay,7 to 14,Capacity Building,57,120.0
81835,30SEP2022,ALL,Global developmental delay,7 to 14,Capital,29,15.0
81836,30SEP2022,ALL,Global developmental delay,7 to 14,Core,85,44.0
81837,30SEP2022,ALL,Global developmental delay,ALL,ALL,61,290.0
81838,30SEP2022,ALL,Global developmental delay,ALL,Capacity Building,57,220.0
81839,30SEP2022,ALL,Global developmental delay,ALL,Capital,71,69.0
81840,30SEP2022,ALL,Global developmental delay,ALL,Core,79,111.0
81841,30SEP2022,ALL,Hearing Impairment,0 to 6,ALL,46,98.0
81842,30SEP2022,ALL,Hearing Impairment,0 to 6,Capacity Building,44,87.0
81843,30SEP2022,ALL,Hearing Impairment,0 to 6,Capital,20,11.0
81844,30SEP2022,ALL,Hearing Impairment,0 to 6,Core,57,34.0
81845,30SEP2022,ALL,Hearing Impairment,15 to 18,ALL,32,54.0
81846,30SEP2022,ALL,Hearing Impairment,15 to 18,Capacity Building,27,43.0
81847,30SEP2022,ALL,Hearing Impairment,15 to 18,Capital,41,3.0
81848,30SEP2022,ALL,Hearing Impairment,15 to 18,Core,41,29.0
81849,30SEP2022,ALL,Hearing Impairment,19 to 24,ALL,36,62.0
81850,30SEP2022,ALL,Hearing Impairment,19 to 24,Capacity Building,27,46.0
81851,30SEP2022,ALL,Hearing Impairment,19 to 24,Capital,52,3.0
81852,30SEP2022,ALL,Hearing Impairment,19 to 24,Core,43,33.0
81853,30SEP2022,ALL,Hearing Impairment,25 to 34,ALL,51,87.0
81854,30SEP2022,ALL,Hearing Impairment,25 to 34,Capacity Building,35,69.0
81855,30SEP2022,ALL,Hearing Impairment,25 to 34,Capital,69,13.0
81856,30SEP2022,ALL,Hearing Impairment,25 to 34,Core,60,39.0
81857,30SEP2022,ALL,Hearing Impairment,35 to 44,ALL,57,117.0
81858,30SEP2022,ALL,Hearing Impairment,35 to 44,Capacity Building,37,87.0
81859,30SEP2022,ALL,Hearing Impairment,35 to 44,Capital,68,28.0
81860,30SEP2022,ALL,Hearing Impairment,35 to 44,Core,65,64.0
81861,30SEP2022,ALL,Hearing Impairment,45 to 54,ALL,54,130.0
81862,30SEP2022,ALL,Hearing Impairment,45 to 54,Capacity Building,50,84.0
81863,30SEP2022,ALL,Hearing Impairment,45 to 54,Capital,78,32.0
81864,30SEP2022,ALL,Hearing Impairment,45 to 54,Core,55,79.0
81865,30SEP2022,ALL,Hearing Impairment,55 to 64,ALL,57,130.0
81866,30SEP2022,ALL,Hearing Impairment,55 to 64,Capacity Building,47,78.0
81867,30SEP2022,ALL,Hearing Impairment,55 to 64,Capital,57,22.0
81868,30SEP2022,ALL,Hearing Impairment,55 to 64,Core,61,87.0
81869,30SEP2022,ALL,Hearing Impairment,65+,ALL,61,64.0
81870,30SEP2022,ALL,Hearing Impairment,65+,Capacity Building,44,36.0
81871,30SEP2022,ALL,Hearing Impairment,65+,Capital,100,12.0
81872,30SEP2022,ALL,Hearing Impairment,65+,Core,64,40.0
81873,30SEP2022,ALL,Hearing Impairment,7 to 14,ALL,46,112.0
81874,30SEP2022,ALL,Hearing Impairment,7 to 14,Capacity Building,45,103.0
81875,30SEP2022,ALL,Hearing Impairment,7 to 14,Capital,13,9.0
81876,30SEP2022,ALL,Hearing Impairment,7 to 14,Core,51,40.0
81877,30SEP2022,ALL,Hearing Impairment,ALL,ALL,50,355.0
81878,30SEP2022,ALL,Hearing Impairment,ALL,Capacity Building,42,248.0
81879,30SEP2022,ALL,Hearing Impairment,ALL,Capital,63,74.0
81880,30SEP2022,ALL,Hearing Impairment,ALL,Core,57,195.0
81881,30SEP2022,ALL,Intellectual Disability,0 to 6,ALL,71,293.0
81882,30SEP2022,ALL,Intellectual Disability,0 to 6,Capacity Building,68,203.0
81883,30SEP2022,ALL,Intellectual Disability,0 to 6,Capital,63,82.0
81884,30SEP2022,ALL,Intellectual Disability,0 to 6,Core,79,127.0
81885,30SEP2022,ALL,Intellectual Disability,15 to 18,ALL,64,490.0
81886,30SEP2022,ALL,Intellectual Disability,15 to 18,Capacity Building,48,356.0
81887,30SEP2022,ALL,Intellectual Disability,15 to 18,Capital,43,83.0
81888,30SEP2022,ALL,Intellectual Disability,15 to 18,Core,76,263.0
81889,30SEP2022,ALL,Intellectual Disability,19 to 24,ALL,69,601.0
81890,30SEP2022,ALL,Intellectual Disability,19 to 24,Capacity Building,49,417.0
81891,30SEP2022,ALL,Intellectual Disability,19 to 24,Capital,21,109.0
81892,30SEP2022,ALL,Intellectual Disability,19 to 24,Core,76,363.0
81893,30SEP2022,ALL,Intellectual Disability,25 to 34,ALL,78,661.0
81894,30SEP2022,ALL,Intellectual Disability,25 to 34,Capacity Building,55,416.0
81895,30SEP2022,ALL,Intellectual Disability,25 to 34,Capital,31,131.0
81896,30SEP2022,ALL,Intellectual Disability,25 to 34,Core,83,409.0
81897,30SEP2022,ALL,Intellectual Disability,35 to 44,ALL,77,585.0
81898,30SEP2022,ALL,Intellectual Disability,35 to 44,Capacity Building,54,360.0
81899,30SEP2022,ALL,Intellectual Disability,35 to 44,Capital,26,111.0
81900,30SEP2022,ALL,Intellectual Disability,35 to 44,Core,82,373.0
81901,30SEP2022,ALL,Intellectual Disability,45 to 54,ALL,81,551.0
81902,30SEP2022,ALL,Intellectual Disability,45 to 54,Capacity Building,58,316.0
81903,30SEP2022,ALL,Intellectual Disability,45 to 54,Capital,18,114.0
81904,30SEP2022,ALL,Intellectual Disability,45 to 54,Core,85,392.0
81905,30SEP2022,ALL,Intellectual Disability,55 to 64,ALL,82,560.0
81906,30SEP2022,ALL,Intellectual Disability,55 to 64,Capacity Building,60,323.0
81907,30SEP2022,ALL,Intellectual Disability,55 to 64,Capital,32,123.0
81908,30SEP2022,ALL,Intellectual Disability,55 to 64,Core,87,387.0
81909,30SEP2022,ALL,Intellectual Disability,65+,ALL,82,259.0
81910,30SEP2022,ALL,Intellectual Disability,65+,Capacity Building,59,151.0
81911,30SEP2022,ALL,Intellectual Disability,65+,Capital,12,49.0
81912,30SEP2022,ALL,Intellectual Disability,65+,Core,87,173.0
81913,30SEP2022,ALL,Intellectual Disability,7 to 14,ALL,72,541.0
81914,30SEP2022,ALL,Intellectual Disability,7 to 14,Capacity Building,63,389.0
81915,30SEP2022,ALL,Intellectual Disability,7 to 14,Capital,53,117.0
81916,30SEP2022,ALL,Intellectual Disability,7 to 14,Core,86,248.0
81917,30SEP2022,ALL,Intellectual Disability,ALL,ALL,77,1260.0
81918,30SEP2022,ALL,Intellectual Disability,ALL,Capacity Building,56,818.0
81919,30SEP2022,ALL,Intellectual Disability,ALL,Capital,33,283.0
81920,30SEP2022,ALL,Intellectual Disability,ALL,Core,83,798.0
81933,30SEP2022,ALL,Multiple Sclerosis,25 to 34,ALL,85,102.0
81934,30SEP2022,ALL,Multiple Sclerosis,25 to 34,Capacity Building,62,49.0
81935,30SEP2022,ALL,Multiple Sclerosis,25 to 34,Capital,34,35.0
81936,30SEP2022,ALL,Multiple Sclerosis,25 to 34,Core,96,52.0
81937,30SEP2022,ALL,Multiple Sclerosis,35 to 44,ALL,69,159.0
81938,30SEP2022,ALL,Multiple Sclerosis,35 to 44,Capacity Building,59,72.0
81939,30SEP2022,ALL,Multiple Sclerosis,35 to 44,Capital,62,58.0
81940,30SEP2022,ALL,Multiple Sclerosis,35 to 44,Core,75,88.0
81941,30SEP2022,ALL,Multiple Sclerosis,45 to 54,ALL,71,276.0
81942,30SEP2022,ALL,Multiple Sclerosis,45 to 54,Capacity Building,60,121.0
81943,30SEP2022,ALL,Multiple Sclerosis,45 to 54,Capital,48,111.0
81944,30SEP2022,ALL,Multiple Sclerosis,45 to 54,Core,78,164.0
81945,30SEP2022,ALL,Multiple Sclerosis,55 to 64,ALL,73,340.0
81946,30SEP2022,ALL,Multiple Sclerosis,55 to 64,Capacity Building,63,155.0
81947,30SEP2022,ALL,Multiple Sclerosis,55 to 64,Capital,53,137.0
81948,30SEP2022,ALL,Multiple Sclerosis,55 to 64,Core,79,200.0
81949,30SEP2022,ALL,Multiple Sclerosis,65+,ALL,67,173.0
81950,30SEP2022,ALL,Multiple Sclerosis,65+,Capacity Building,64,69.0
81951,30SEP2022,ALL,Multiple Sclerosis,65+,Capital,51,72.0
81952,30SEP2022,ALL,Multiple Sclerosis,65+,Core,70,98.0
81957,30SEP2022,ALL,Multiple Sclerosis,ALL,ALL,72,485.0
81958,30SEP2022,ALL,Multiple Sclerosis,ALL,Capacity Building,62,231.0
81959,30SEP2022,ALL,Multiple Sclerosis,ALL,Capital,51,185.0
81960,30SEP2022,ALL,Multiple Sclerosis,ALL,Core,78,295.0
81961,30SEP2022,ALL,Other,0 to 6,ALL,56,29.0
81962,30SEP2022,ALL,Other,0 to 6,Capacity Building,59,25.0
81963,30SEP2022,ALL,Other,0 to 6,Capital,9,6.0
81964,30SEP2022,ALL,Other,0 to 6,Core,54,5.0
81965,30SEP2022,ALL,Other,15 to 18,ALL,53,28.0
81966,30SEP2022,ALL,Other,15 to 18,Capacity Building,51,24.0
81968,30SEP2022,ALL,Other,15 to 18,Core,65,7.0
81969,30SEP2022,ALL,Other,19 to 24,ALL,62,47.0
81970,30SEP2022,ALL,Other,19 to 24,Capacity Building,52,37.0
81971,30SEP2022,ALL,Other,19 to 24,Capital,50,9.0
81972,30SEP2022,ALL,Other,19 to 24,Core,68,20.0
81973,30SEP2022,ALL,Other,25 to 34,ALL,66,62.0
81974,30SEP2022,ALL,Other,25 to 34,Capacity Building,55,39.0
81975,30SEP2022,ALL,Other,25 to 34,Capital,77,17.0
81976,30SEP2022,ALL,Other,25 to 34,Core,66,34.0
81977,30SEP2022,ALL,Other,35 to 44,ALL,73,95.0
81978,30SEP2022,ALL,Other,35 to 44,Capacity Building,57,58.0
81979,30SEP2022,ALL,Other,35 to 44,Capital,100,33.0
81980,30SEP2022,ALL,Other,35 to 44,Core,70,51.0
81981,30SEP2022,ALL,Other,45 to 54,ALL,63,211.0
81982,30SEP2022,ALL,Other,45 to 54,Capacity Building,51,115.0
81983,30SEP2022,ALL,Other,45 to 54,Capital,97,59.0
81984,30SEP2022,ALL,Other,45 to 54,Core,58,120.0
81985,30SEP2022,ALL,Other,55 to 64,ALL,67,295.0
81986,30SEP2022,ALL,Other,55 to 64,Capacity Building,63,175.0
81987,30SEP2022,ALL,Other,55 to 64,Capital,54,81.0
81988,30SEP2022,ALL,Other,55 to 64,Core,71,166.0
81989,30SEP2022,ALL,Other,65+,ALL,63,125.0
81990,30SEP2022,ALL,Other,65+,Capacity Building,57,78.0
81991,30SEP2022,ALL,Other,65+,Capital,89,29.0
81992,30SEP2022,ALL,Other,65+,Core,60,68.0
81993,30SEP2022,ALL,Other,7 to 14,ALL,68,73.0
81994,30SEP2022,ALL,Other,7 to 14,Capacity Building,67,63.0
81995,30SEP2022,ALL,Other,7 to 14,Capital,30,13.0
81996,30SEP2022,ALL,Other,7 to 14,Core,83,19.0
81997,30SEP2022,ALL,Other,ALL,ALL,66,472.0
81998,30SEP2022,ALL,Other,ALL,Capacity Building,59,285.0
81999,30SEP2022,ALL,Other,ALL,Capital,76,127.0
82000,30SEP2022,ALL,Other,ALL,Core,66,267.0
82001,30SEP2022,ALL,Other Neurological,0 to 6,ALL,59,127.0
82002,30SEP2022,ALL,Other Neurological,0 to 6,Capacity Building,66,79.0
82003,30SEP2022,ALL,Other Neurological,0 to 6,Capital,86,59.0
82004,30SEP2022,ALL,Other Neurological,0 to 6,Core,45,47.0
82005,30SEP2022,ALL,Other Neurological,15 to 18,ALL,56,168.0
82006,30SEP2022,ALL,Other Neurological,15 to 18,Capacity Building,51,95.0
82007,30SEP2022,ALL,Other Neurological,15 to 18,Capital,49,61.0
82008,30SEP2022,ALL,Other Neurological,15 to 18,Core,62,69.0
82009,30SEP2022,ALL,Other Neurological,19 to 24,ALL,75,198.0
82010,30SEP2022,ALL,Other Neurological,19 to 24,Capacity Building,54,120.0
82011,30SEP2022,ALL,Other Neurological,19 to 24,Capital,62,62.0
82012,30SEP2022,ALL,Other Neurological,19 to 24,Core,81,107.0
82013,30SEP2022,ALL,Other Neurological,25 to 34,ALL,78,275.0
82014,30SEP2022,ALL,Other Neurological,25 to 34,Capacity Building,59,158.0
82015,30SEP2022,ALL,Other Neurological,25 to 34,Capital,50,88.0
82016,30SEP2022,ALL,Other Neurological,25 to 34,Core,84,157.0
82017,30SEP2022,ALL,Other Neurological,35 to 44,ALL,81,316.0
82018,30SEP2022,ALL,Other Neurological,35 to 44,Capacity Building,66,169.0
82019,30SEP2022,ALL,Other Neurological,35 to 44,Capital,56,97.0
82020,30SEP2022,ALL,Other Neurological,35 to 44,Core,87,176.0
82021,30SEP2022,ALL,Other Neurological,45 to 54,ALL,74,445.0
82022,30SEP2022,ALL,Other Neurological,45 to 54,Capacity Building,65,229.0
82023,30SEP2022,ALL,Other Neurological,45 to 54,Capital,53,139.0
82024,30SEP2022,ALL,Other Neurological,45 to 54,Core,79,274.0
82025,30SEP2022,ALL,Other Neurological,55 to 64,ALL,71,601.0
82026,30SEP2022,ALL,Other Neurological,55 to 64,Capacity Building,65,318.0
82027,30SEP2022,ALL,Other Neurological,55 to 64,Capital,44,172.0
82028,30SEP2022,ALL,Other Neurological,55 to 64,Core,74,388.0
82029,30SEP2022,ALL,Other Neurological,65+,ALL,66,346.0
82030,30SEP2022,ALL,Other Neurological,65+,Capacity Building,63,183.0
82031,30SEP2022,ALL,Other Neurological,65+,Capital,53,104.0
82032,30SEP2022,ALL,Other Neurological,65+,Core,68,217.0
82033,30SEP2022,ALL,Other Neurological,7 to 14,ALL,70,229.0
82034,30SEP2022,ALL,Other Neurological,7 to 14,Capacity Building,66,136.0
82035,30SEP2022,ALL,Other Neurological,7 to 14,Capital,70,75.0
82036,30SEP2022,ALL,Other Neurological,7 to 14,Core,75,96.0
82037,30SEP2022,ALL,Other Neurological,ALL,ALL,72,904.0
82038,30SEP2022,ALL,Other Neurological,ALL,Capacity Building,63,499.0
82039,30SEP2022,ALL,Other Neurological,ALL,Capital,53,275.0
82040,30SEP2022,ALL,Other Neurological,ALL,Core,76,556.0
82041,30SEP2022,ALL,Other Physical,0 to 6,ALL,76,96.0
82042,30SEP2022,ALL,Other Physical,0 to 6,Capacity Building,68,62.0
82043,30SEP2022,ALL,Other Physical,0 to 6,Capital,65,39.0
82044,30SEP2022,ALL,Other Physical,0 to 6,Core,100,30.0
82045,30SEP2022,ALL,Other Physical,15 to 18,ALL,55,100.0
82046,30SEP2022,ALL,Other Physical,15 to 18,Capacity Building,35,68.0
82047,30SEP2022,ALL,Other Physical,15 to 18,Capital,56,38.0
82048,30SEP2022,ALL,Other Physical,15 to 18,Core,70,37.0
82049,30SEP2022,ALL,Other Physical,19 to 24,ALL,52,129.0
82050,30SEP2022,ALL,Other Physical,19 to 24,Capacity Building,50,86.0
82051,30SEP2022,ALL,Other Physical,19 to 24,Capital,29,42.0
82052,30SEP2022,ALL,Other Physical,19 to 24,Core,61,56.0
82053,30SEP2022,ALL,Other Physical,25 to 34,ALL,69,203.0
82054,30SEP2022,ALL,Other Physical,25 to 34,Capacity Building,58,119.0
